Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Bos mutus],Bos mutus,1815,1815,99%,0.0,87.70,2744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MXQ88774.1?report=genbank&log$=prottop&blast_rank=1&RID=4TZ64D5K01R"",""MXQ88774.1"")"
Centrosomal protein of 135 kDa [Pteropus alecto],Pteropus alecto,1592,1592,100%,0.0,90.18,1166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELK03683.1?report=genbank&log$=prottop&blast_rank=2&RID=4TZ64D5K01R"",""ELK03683.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus vampyrus],Pteropus vampyrus,1586,1586,100%,0.0,90.26,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011360921.1?report=genbank&log$=prottop&blast_rank=3&RID=4TZ64D5K01R"",""XP_011360921.1"")"
centrosomal protein of 135 kDa isoform X1 [Macaca nemestrina],Macaca nemestrina,1585,1585,100%,0.0,98.25,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011709008.1?report=genbank&log$=prottop&blast_rank=4&RID=4TZ64D5K01R"",""XP_011709008.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Macaca fascicularis],Macaca fascicularis,1584,1584,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005555302.1?report=genbank&log$=prottop&blast_rank=5&RID=4TZ64D5K01R"",""XP_005555302.1"")"
PREDICTED: centrosomal protein of 135 kDa [Mandrillus leucophaeus],Mandrillus leucophaeus,1583,1583,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011847897.1?report=genbank&log$=prottop&blast_rank=6&RID=4TZ64D5K01R"",""XP_011847897.1"")"
centrosomal protein of 135 kDa [Theropithecus gelada],Theropithecus gelada,1581,1581,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025241370.1?report=genbank&log$=prottop&blast_rank=7&RID=4TZ64D5K01R"",""XP_025241370.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Cercocebus atys],Cercocebus atys,1581,1581,100%,0.0,97.81,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928886.1?report=genbank&log$=prottop&blast_rank=8&RID=4TZ64D5K01R"",""XP_011928886.1"")"
centrosomal protein of 135 kDa isoform X1 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,1580,1580,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047955.1?report=genbank&log$=prottop&blast_rank=9&RID=4TZ64D5K01R"",""XP_023047955.1"")"
centrosomal protein of 135 kDa isoform X2 [Trachypithecus francoisi],Trachypithecus francoisi,1580,1580,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070507.1?report=genbank&log$=prottop&blast_rank=10&RID=4TZ64D5K01R"",""XP_033070507.1"")"
centrosomal protein of 135 kDa isoform X1 [Trachypithecus francoisi],Trachypithecus francoisi,1579,1579,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070506.1?report=genbank&log$=prottop&blast_rank=11&RID=4TZ64D5K01R"",""XP_033070506.1"")"
PREDICTED: centrosomal protein of 135 kDa [Colobus angolensis palliatus],Colobus angolensis palliatus,1579,1579,100%,0.0,97.89,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011792677.1?report=genbank&log$=prottop&blast_rank=12&RID=4TZ64D5K01R"",""XP_011792677.1"")"
centrosomal protein of 135 kDa [Rhinopithecus roxellana],Rhinopithecus roxellana,1579,1579,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010353537.1?report=genbank&log$=prottop&blast_rank=13&RID=4TZ64D5K01R"",""XP_010353537.1"")"
centrosomal protein of 135 kDa isoform X2 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,1578,1578,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047956.1?report=genbank&log$=prottop&blast_rank=14&RID=4TZ64D5K01R"",""XP_023047956.1"")"
centrosomal protein of 135 kDa [Homo sapiens],Homo sapiens,1578,1578,100%,0.0,100.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_079285.2?report=genbank&log$=prottop&blast_rank=15&RID=4TZ64D5K01R"",""NP_079285.2"")"
centrosomal protein of 135 kDa [Chlorocebus sabaeus],Chlorocebus sabaeus,1578,1578,99%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007996841.2?report=genbank&log$=prottop&blast_rank=16&RID=4TZ64D5K01R"",""XP_007996841.2"")"
centrosomal protein of 135 kDa [Gorilla gorilla gorilla],Gorilla gorilla gorilla,1578,1578,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018881638.1?report=genbank&log$=prottop&blast_rank=17&RID=4TZ64D5K01R"",""XP_018881638.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus alecto],Pteropus alecto,1578,1578,100%,0.0,90.18,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006922577.1?report=genbank&log$=prottop&blast_rank=18&RID=4TZ64D5K01R"",""XP_006922577.1"")"
TPA: centrosome protein Cep135 [Homo sapiens],Homo sapiens,1576,1576,100%,0.0,99.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA05590.1?report=genbank&log$=prottop&blast_rank=19&RID=4TZ64D5K01R"",""DAA05590.1"")"
PREDICTED: centrosomal protein of 135 kDa [Equus przewalskii],Equus przewalskii,1575,1575,99%,0.0,91.22,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008510991.1?report=genbank&log$=prottop&blast_rank=20&RID=4TZ64D5K01R"",""XP_008510991.1"")"
centrosomal protein of 135 kDa isoform X1 [Equus caballus],Equus caballus,1575,1575,99%,0.0,90.18,1151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493835.1?report=genbank&log$=prottop&blast_rank=21&RID=4TZ64D5K01R"",""XP_023493835.1"")"
